LOCCODE,PreK_Type,Borough,LocName,NOTE,phone,address,Postcode,Day_Length,Seats,X,Y,Email,Website,MEALS,INDOOR_OUTDOOR,EXTENDED_DAY,SEMS_CODE,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA
K018,DOE,K,P.S. 018 Edward Bush,,718-387-3241,101 Maujer St,11206,1,36,998970,198249,aalexan4@schools.nyc.gov,http://schools.nyc.gov/schoolportals/14/k018,2,3,3,14K018,40.710609,-73.946977,1,34,503,3069559,3027870001,East Williamsburg                                                          
K020,DOE,K,P.S. 020 Clinton Hill,,718-834-6744,225 Adelphi St,11205,1,54,992270,190980,lbarbera@schools.nyc.gov,http://schools.nyc.gov/schoolportals/13/k020,2,3,3,13K020,40.690765,-73.971376,2,35,183,3058531,3020910003,Fort Greene                                                                
K021,DOE,K,P.S. 021 Crispus Attucks,,718-493-9681,180 Chauncey St,11233,1,54,1004755,187212,lfrazie@schools.nyc.gov,http://schools.nyc.gov/schoolportals/16/k021,2,3,3,16K021,40.680727,-73.926597,3,36,381,3047914,3016920017,Crown Heights North                                                        
K023,DOE,K,P.S. 023 Carter G Woodson,,718-387-0375,545 Willoughby Ave,11206,1,36,998775,192219,cnapoli@schools.nyc.gov,http://schools.nyc.gov/schoolportals/14/k023,2,3,3,14K023,40.69407,-73.94756,3,36,25901,3048818,3017590013,Bedford                                                                    
K024,DOE,K,P.S. 024,,718-832-9366,427 38 St,11232,1,36,982972,177112,rdubits@schools.nyc.gov,http://schools.nyc.gov/schoolportals/15/k024,3,3,3,15K024,40.652701,-74.004743,7,38,84,3346119,3007010001,Sunset Park West                                                           
K025,DOE,K,P.S. 025 Eubie Blake School,,718-574-2336,787 Lafayette Ave,11221,1,36,1000753,191155,acoley2@schools.nyc.gov,http://schools.nyc.gov/schoolportals/16/k025,3,3,3,16K025,40.691037,-73.941342,3,36,281,3049858,3017870014,Stuyvesant Heights                                                         
K026,DOE,K,P.S. 026 Jesse Owens,,718-919-5707,1014 Lafayette Ave,11221,1,18,1003289,191351,ccelest@schools.nyc.gov,http://schools.nyc.gov/schoolportals/16/k026,2,3,3,16K026,40.692126,-73.931731,3,36,291,3393805,3016160001,Stuyvesant Heights                                                         
K028,DOE,K,P.S. 028 The Warren Prep Academy,,718-467-2865,1001 Herkimer St,11233,1,18,1006403,186449,,http://schools.nyc.gov/schoolportals/16/k028,2,3,3,16K028,40.678049,-73.92032,3,41,301,3042090,3015480019,Ocean Hill                                                                 
K029,DOE,K,P.S. 029 John M Harrigan,,718-330-9277,425 Henry St,11201,1,54,984883,189545,rfagin@schools.nyc.gov,http://schools.nyc.gov/schoolportals/15/k029,3,3,3,15K029,40.686951,-73.99806,6,39,45,3255627,3003110001,Carroll Gardens-Columbia Street-Red Hook                                   
K031,DOE,K,P.S. 031 Samuel F Dupont,,718-383-8998,75 Meserole Ave,11222,1,108,996979,204091,mscarla@schools.nyc.gov,http://schools.nyc.gov/schoolportals/14/k031,2,1,3,14K031,40.726587,-73.95427,1,33,561,3065299,3025950001,Greenpoint                                                                 
K032,DOE,K,P.S. 032 Samuel Mills Sprole,,718-222-6400,317 Hoyt St,11231,1,30,986550,187189,dflorio@schools.nyc.gov,http://schools.nyc.gov/schoolportals/15/k032,3,7,3,15K032,40.680445,-73.991949,6,39,75,3395587,3004370001,Carroll Gardens-Columbia Street-Red Hook                                   
K034,DOE,K,P.S. 034 Oliver H Perry,,718-389-5842,131 Norman Ave,11222,1,18,998184,203901,casselt@schools.nyc.gov,http://ps34.org,2,3,3,14K034,40.726135,-73.949649,1,33,573,3065733,3026220028,Greenpoint                                                                 
K038,DOE,K,P.S. 038 The Pacific,,718-330-9305,450 Pacific St,11217,1,126,988968,188868,yramire4@schools.nyc.gov,http://schools.nyc.gov/schoolportals/15/k038,3,3,1,15K038,40.685264,-73.982639,2,33,39,3001183,3001910001,DUMBO-Vinegar Hill-Downtown Brklyn-Boerum Hill
K039,DOE,K,P.S. 039 Henry Bristow,,718-330-9310,417 6 Ave,11215,1,36,988958,182905,,http://ps39.org,7,3,3,15K039,40.668916,-73.983195,6,39,153,3021932,3010000001,Park Slope-Gowanus                                                         
K040,DOE,K,P.S. 040 George W Carver,,718-574-2353,265 Ralph Ave,11233,1,36,1005913,187134,lhibber@schools.nyc.gov,http://schools.nyc.gov/schoolportals/16/k040,3,3,3,16K040,40.680463,-73.922264,3,41,379,3041214,3015180001,Stuyvesant Heights                                                         
K044,DOE,K,P.S. 044 Marcus Garvey,,718-834-6939,432 Monroe St,11221,1,36,1000624,189327,rjames6@schools.nyc.gov,http://schools.nyc.gov/schoolportals/13/k044,2,3,3,13K044,40.686592,-73.940747,3,36,277,3051540,3018210001,Stuyvesant Heights                                                         
K045,DOE,K,P.S. 045 Horace E Greene,,718-642-5360,84 Schaefer St,11207,1,54,1009081,189447,tlott-davis@schools.nyc.gov,http://schools.nyc.gov/schoolportals/32/k045,2,3,3,32K045,40.686746,-73.910693,4,37,401,3079428,3034270011,Bushwick South                                                             
K046,DOE,K,P.S. 046 Edward C Blum,,718-834-7694,100 Clermont Ave,11205,1,54,992161,192247,knicholson@schools.nyc.gov,http://schools.nyc.gov/schoolportals/13/k046,2,3,3,13K046,40.694633,-73.971165,2,35,187,3058088,3020450011,Fort Greene                                                                
K048,DOE,K,P.S. 048 Mapleton,,718-232-3873,6015 18 Ave,11204,1,18,987776,165729,jmagenta@schools.nyc.gov,http://schools.nyc.gov/schoolportals/20/k048,5,9,3,20K048,40.621871,-73.987396,12,44,244,3132140,3055190001,Borough Park                                                               
K052,DOE,K,P.S. 052 Sheepshead Bay,,718-648-0882,2675 East 29 St,11235,1,72,1000858,153397,ralvare4@schools.nyc.gov,http://schools.nyc.gov/schoolportals/22/k052,3,3,3,22K052,40.58792,-73.940532,15,48,600,3205435,3074740001,Sheepshead Bay-Gerritsen Beach-Manhattn Bch
K054,DOE,K,P.S. 054 Samuel C Barnes,,718-834-6752,195 Sanford St,11205,1,46,997373,191615,lkhan@schools.nyc.gov,http://schools.nyc.gov/schoolportals/13/k054,2,3,3,13K054,40.693018,-73.953034,3,33,241,3049020,3017650015,Bedford                                                                    
K056,DOE,K,P.S. 056 Lewis H Latimer,,718-857-3149,170 Gates Ave,11238,1,18,995211,188782,dclarkj@schools.nyc.gov,http://schools.nyc.gov/schoolportals/13/k056,3,3,3,13K056,40.68505,-73.960659,2,35,231,3056874,3019830010,Clinton Hill                                                               
K058,DOE,K,P.S. 058 The Carroll,,718-330-9322,330 Smith St,11231,1,54,985512,187171,kdellostritto2@schools.nyc.gov,http://schools.nyc.gov/schoolportals/15/k058,2,3,3,15K058,40.680149,-73.994938,6,39,77,3007547,3004490015,Carroll Gardens-Columbia Street-Red Hook                                   
K059,DOE,K,P.S. 059 William Floyd,,718-443-3600,211 Throop Ave,11206,1,36,999930,193336,dbest2@schools.nyc.gov,http://schools.nyc.gov/schoolportals/14/k059,3,3,3,14K059,40.696733,-73.943652,3,36,28502,3048546,3017490001,Stuyvesant Heights                                                         
K066,DOE,K,P.S. 66,,718-922-3505,845 East 96 St,11236,1,18,1010047,175668,ljackso17@schools.nyc.gov,http://schools.nyc.gov/schoolportals/18/k066,3,3,3,18K066,40.64883,-73.907774,18,42,970,3325418,3081290060,Canarsie                                                                   
K067,DOE,K,P.S. 067 Charles A Dorsey,,718-834-6756,51 Saint Edwards St,11205,1,18,990385,192610,gsolomon3@schools.nyc.gov,http://schools.nyc.gov/schoolportals/13/k067,3,3,3,13K067,40.695633,-73.978215,2,35,2901,3332507,3020390002,Fort Greene                                                                
K075,DOE,K,P.S. 075 Mayda Cortiella,,718-574-0244,95 Grv St,11221,1,54,1006134,191822,ywillia@schools.nyc.gov,http://schools.nyc.gov/schoolportals/32/k075,2,1,3,32K075,40.693313,-73.920666,4,34,419,3075879,3033140001,Bushwick South                                                             
K272,DOE,K,P.S. 272 Curtis Estabrook,,718-241-1300,101 - 24 Seaview Ave,11236,1,64,1015842,170884,hpinckney@schools.nyc.gov,http://schools.nyc.gov/schoolportals/18/k272,2,3,1,18K272,40.635916,-73.886412,18,46,1034,3235262,3083290250,Canarsie                                                                   
K081,DOE,K,P.S. 081 Thaddeus Stevens,,718-574-2365,990 Dekalb Ave,11221,1,36,1002239,191774,CAultBarker@schools.nyc.gov,http://schools.nyc.gov/schoolportals/16/k081,3,3,1,16K081,40.693161,-73.935765,3,36,289,3043248,3016020019,Stuyvesant Heights                                                         
K084,DOE,K,P.S. 084 Jose De Diego,,718-384-8063,250 Berry St,11211,1,72,994436,199724,srodrig12@schools.nyc.gov,http://schools.nyc.gov/schoolportals/14/k084,2,3,3,14K084,40.714785,-73.963,1,34,551,3062766,3023910001,North Side-South Side                                                      
K089,DOE,K,P.S. 089 Cypress Hills,,718-964-1180,265 Warwick St,11207,1,18,1015669,186210,vrodrig4@schools.nyc.gov,http://schools.nyc.gov/schoolportals/19/k089,2,7,3,19K089,40.677697,-73.886936,5,37,1170,3397079,3039520047,East New York                                                              
K090,DOE,K,P.S. 90 Edna Cohen School,,718-787-3333,2840 West 12 St,11224,1,90,989819,149880,ghawkins@schools.nyc.gov,http://schools.nyc.gov/schoolportals/21/k090,3,3,3,21K090,40.578255,-73.979628,13,47,350,3196558,3072660040,West Brighton                                                              
K091,DOE,K,P.S. 091 The Albany Avenue School,,718-756-0243,532 Albany Ave,11203,1,72,1000834,180404,talleyn2@schools.nyc.gov,http://schools.nyc.gov/schoolportals/17/k091,2,3,3,17K091,40.661886,-73.93994,9,41,806,3106599,3047940026,Prospect Lefferts Gardens-Wingate                                          
K092,DOE,K,P.S. 092 Adrian Hegeman,,718-462-2087,601 Parkside Ave,11226,1,54,996990,178353,drahmaa@schools.nyc.gov,http://schools.nyc.gov/schoolportals/17/k092,2,3,3,17K092,40.656046,-73.953742,9,40,802,3115866,3050490055,Prospect Lefferts Gardens-Wingate                                          
K093,DOE,K,P.S. 093 William H Prescott,,718-604-7363,31 New York Ave,11216,1,36,999087,186633,sphilip@schools.nyc.gov,http://schools.nyc.gov/schoolportals/13/k093,2,3,3,13K093,40.679097,-73.94684,3,36,247,3053993,3018680007,Crown Heights North                                                        
K095,DOE,K,P.S. 095 The Gravesend,,718-449-5050,345 Van Sicklen St,11223,1,36,991224,156323,jndzibah@schools.nyc.gov,http://schools.nyc.gov/schoolportals/21/k095,2,3,3,21K095,40.595698,-73.97518,15,47,398,3192661,3071230066,Gravesend                                                                  
K097,DOE,K,P.S. 97 The Highlawn,,718-372-1800,1855 Stillwell Ave,11223,1,54,988205,158329,icabello@schools.nyc.gov,http://schools.nyc.gov/schoolportals/21/k097,3,3,3,21K097,40.601433,-73.986139,11,47,404,3177680,3066670024,Bensonhurst East                                                           
K099,DOE,K,P.S. 099 Isaac Asimov,,718-338-9201,1120 East 10 St,11230,1,36,993722,165704,gpirrag@schools.nyc.gov,http://schools.nyc.gov/schoolportals/21/k099,2,1,3,21K099,40.621565,-73.965595,12,44,454,3171478,3065350011,Ocean Parkway South                                                        
K100,DOE,K,P.S. 100 The Coney Island School,,718-266-9477,2951 West 3 St,11224,1,36,992317,149702,ctozzi@schools.nyc.gov,http://schools.nyc.gov/schoolportals/21/k100,2,3,3,21K100,40.57732,-73.971313,13,48,35602,3196595,3072810001,West Brighton                                                              
K106,DOE,K,P.S. 106 Edward Everett Hale,,718-574-0261,1328 Putnam Ave,11221,1,36,1008466,192021,rflores@schools.nyc.gov,http://schools.nyc.gov/schoolportals/32/k106,2,3,3,32K106,40.693879,-73.913056,4,37,435,3077286,3033770001,Bushwick North                                                             
K108,DOE,K,P.S. 108 Sal Abbracciamento,,718-277-7010,200 Linwood St,11208,1,108,1016343,187503,chahn3@schools.nyc.gov,http://schools.nyc.gov/schoolportals/19/k108,2,3,3,19K108,40.681268,-73.884063,5,37,117202,3087131,3039260045,Cypress Hills-City Line                                                    
K109,DOE,K,P.S. 109,,718-693-3426,1001 East 45 St,11203,1,54,1002852,171265,dchase2@schools.nyc.gov,http://schools.nyc.gov/schoolportals/22/k109,2,3,3,22K109,40.636455,-73.933582,17,45,836,3114526,3050220002,East Flatbush-Farragut                                                     
K110,DOE,K,P.S. 110 The Monitor,,718-383-7600,124 Monitor St,11222,1,90,1000314,202930,tatson@schools.nyc.gov,http://ps110k.org,2,3,3,14K110,40.723897,-73.942312,1,33,591,3067144,3026880042,Greenpoint                                                                 
K112,DOE,K,P.S. 112 Lefferts Park,,718-232-0685,7301 15 Ave,11228,1,20,983812,164596,LVerdem@schools.nyc.gov,http://schools.nyc.gov/schoolportals/20/k112,5,9,3,20K112,40.618718,-74.001898,11,43,188,3253521,3062020006,Bensonhurst West                                                           
K114,DOE,K,P.S. 114 Ryder Elementary,,718-257-4428,1077 Remsen Ave,11236,1,54,1009741,173411,dsmith6@schools.nyc.gov,http://schools.nyc.gov/schoolportals/18/k114,3,3,3,18K114,40.642792,-73.908806,18,46,964,3229159,3081600022,Canarsie                                                                   
K115,DOE,K,P.S. 115 Daniel Mucatel School,,718-241-1000,1500 East 92 St,11236,1,108,1012677,170592,lborgese@schools.nyc.gov,http://schools.nyc.gov/schoolportals/18/k115,2,3,3,18K115,40.635015,-73.897262,18,46,1008,3232559,3082560001,Canarsie                                                                   
K118,DOE,K,The Maurice Sendak Community School,,718-840-5660,211 8th St,11215,1,66,987659,183768,wgarraway@schools.nyc.gov,http://schools.nyc.gov/schoolportals/15/k118,3,3,3,15K118,40.670764,-73.987787,6,39,137,3021840,3009980001,Park Slope-Gowanus                                                         
K119,DOE,K,P.S. 119 Amersfort,,718-377-7696,3829 Ave K,11210,1,36,1001254,167364,lfernan5@schools.nyc.gov,http://schools.nyc.gov/schoolportals/22/k119,3,3,3,22K119,40.625662,-73.938265,18,45,734,3215816,3077860001,Flatlands                                                                  
K120,DOE,K,P.S. 120 Carlos Tapia,,718-455-1000,18 Beaver St,11206,1,90,1001511,194534,lcaraba@schools.nyc.gov,http://schools.nyc.gov/schoolportals/14/k120,3,3,1,14K120,40.700911,-73.938884,4,34,389,3071806,3031370026,Bushwick South                                                             
K121,DOE,K,P.S. 121 Nelson A Rockefeller,,718-377-8845,5301 20 Ave,11204,1,18,990132,166212,cmagrone@schools.nyc.gov,http://schools.nyc.gov/schoolportals/21/k121,2,3,3,21K121,40.623273,-73.978822,12,44,464,3253281,3054951101,Borough Park                                                               
K123,DOE,K,P.S. 123 Suydam,,718-821-4810,100 Irving Ave,11237,1,36,1005736,195753,aparach@schools.nyc.gov,http://schools.nyc.gov/schoolportals/32/k123,2,1,3,32K123,40.703767,-73.922702,4,34,445,3072966,3032100001,Bushwick North                                                             
K124,DOE,K,P.S. 124 Silas B Dutcher,,718-788-0246,515 4 Ave,11215,1,36,986830,182462,aburrell2@schools.nyc.gov,http://schools.nyc.gov/schoolportals/15/k124,2,3,3,15K124,40.667545,-73.991046,6,39,141,3023391,3010340001,Park Slope-Gowanus                                                         
K129,CHARTER,K,Success Academy Charter School - Cobble Hill Pre - Kindergarten,,718-704-1460,284 Baltic St,11201,1,18,986088,188932,SACH.MainOffice@saschools.org,http://successacademies.org/schools/cobble-hill/,5,9,3,15K129,40.685419,-73.993351,6,33,69,3006401,3004020001,DUMBO-Vinegar Hill-Downtown Brklyn-Boerum Hill
K130,DOE,K,P.S. 130 The Parkside,,718-686-1940,70 Ocean Pkwy,11218,1,72,990932,175699,mnunzia@schools.nyc.gov,http://ps130brooklyn.com,2,7,3,15K130,40.648884,-73.975607,7,39,500,3124019,3053190001,Windsor Terrace                                                            
KCPY,NYCEEC,K,Tiny Bumblebees,,718-975-3232,2848 Brighton 7 St,11235,1,11,994744,151313,farida.jafri@gmail.com,,5,9,3,21KCPY,40.582365,-73.962105,13,48,366,3392249,3000000000,Brighton Beach                                                             
K131,DOE,K,P.S. 131 Brooklyn,,718-431-1960,4305 Ft Hamilton Pkwy,11219,1,36,986096,172731,rquiles2@schools.nyc.gov,http://schools.nyc.gov/schoolportals/15/k131,2,3,3,15K131,40.641157,-73.993482,12,39,224,3136085,3056030001,Borough Park                                                               
K132,DOE,K,P.S. 132 The Conselyea School,,718-599-7301,320 Manhattan Ave,11211,1,72,999251,199688,blubeck@schools.nyc.gov,http://ps132andyou.net,2,3,3,14K132,40.71466,-73.946108,1,34,497,3068728,3027590001,East Williamsburg                                                          
K133,DOE,K,P.S. 133 William A Butler,"<P> <Strong>Note:</strong> Students in District 15 are prioritized for two-thirds of seats and students in District 13 are prioritized for the remaining third. Within each district group, students who qualify for Free and Reduced Lunch and/or are English Language Learners will have priority for 35% of those seats. </P>",718-398-5320,610 Baltic St,11217,1,64,989651,187141,adickerson@schools.nyc.gov,http://ps133brooklyn.org,2,3,3,13K133,40.680428,-73.980491,6,39,12901,3413716,3009400111,Park Slope-Gowanus                                                         
K135,DOE,K,P.S. 135 Sheldon A Brookner,,718-693-4363,684 Linden Blvd,11203,1,36,1002848,177315,tmcrae2@schools.nyc.gov,http://schools.nyc.gov/schoolportals/18/k135,2,7,3,18K135,40.65364,-73.933114,17,41,870,3102005,3046730001,East Flatbush-Farragut                                                     
K137,DOE,K,P.S. / I.S. 137 Rachel Jean Mitchell,,718-453-2926,121 Saratoga Ave,11233,1,18,1007348,187847,zcooper@schools.nyc.gov,http://schools.nyc.gov/schoolportals/23/k137,3,3,3,23K137,40.682458,-73.917088,16,41,373,3040878,3015100001,Ocean Hill                                                                 
K138,DOE,K,P.S. 138 Brooklyn,,718-467-0800,760 Prospect Pl,11216,1,72,997749,184891,mchauve@schools.nyc.gov,http://schools.nyc.gov/schoolportals/17/k138,2,3,3,17K138,40.67438,-73.951443,8,36,31701,3330794,3012330026,Crown Heights North                                                        
K139,DOE,K,P.S. 139 Alexine A Fenty,,718-282-5254,330 Rugby Rd,11226,1,54,993758,172958,mmcdona10@schools.nyc.gov,http://schools.nyc.gov/schoolportals/22/k139,2,7,3,22K139,40.641937,-73.965523,14,40,1522,3328235,3051440064,Flatbush                                                                   
K145,DOE,K,P.S. 145 Andrew Jackson,,718-821-4823,100 Noll St,11206,1,90,1003047,194870,LMalloy@schools.nyc.gov,http://schools.nyc.gov/schoolportals/32/k145,2,7,3,32K145,40.701692,-73.932338,4,34,425,3071915,3031530011,Bushwick South                                                             
K146,DOE,K,P.S. 146,<P><Strong>Note:</strong> Students who qualify for Free and Reduced Lunch have priority after siblings.</p>,718-923-4750,610 Henry St,11231,1,36,983782,186982,amysumner@bns146.org,http://bns146.org,3,3,1,15K146,40.68007,-74.001377,6,39,63,3336036,3003690001,Carroll Gardens-Columbia Street-Red Hook                                   
K147,DOE,K,P.S. 147 Isaac Remsen,,718-497-0326,325 Bushwick Ave,11206,1,54,1001203,196190,snoyola@schools.nyc.gov,http://ps147brooklyn.org/,3,3,3,14K147,40.705204,-73.939407,1,34,485,3071418,3030910001,Bushwick South                                                             
K149,DOE,K,P.S. 149 Danny Kaye,,718-385-8666,700 Sutter Ave,11207,1,90,1013999,183181,yschoff@schools.nyc.gov,http://schools.nyc.gov/schoolportals/19/k149,3,3,1,19K149,40.669719,-73.892822,5,42,1158,3084348,3037740016,East New York (Pennsylvania Ave)                                           
K151,DOE,K,P.S. 151 Lyndon B Johnson,,718-326-6360,763 Knickerbocker Ave,11207,1,18,1009676,191905,jhunt@schools.nyc.gov,http://schools.nyc.gov/schoolportals/32/k151,2,3,3,32K151,40.693293,-73.90864,4,37,437,3078654,3034060001,Bushwick North                                                             
K152,DOE,K,School Of Science & Technology,,718-434-5222,725 East 23 St,11210,1,18,996920,169771,csheldr@schools.nyc.gov,http://schools.nyc.gov/schoolportals/22/k152,2,7,3,22K152,40.632562,-73.954724,14,45,772,3205780,3075510026,Flatbush                                                                   
K153,DOE,K,P.S. 153 Homecrest,,718-375-4484,1970 Homecrest Ave,11229,1,64,995364,158309,csanta@schools.nyc.gov,http://schools.nyc.gov/schoolportals/21/k153,2,3,3,21K153,40.601617,-73.959779,15,48,556,3196677,3072910030,Homecrest                                                                  
K155,DOE,K,P.S. / I.S. 155 Nicholas Herkimer,,718-495-7751,1355 Herkimer St,11233,1,36,1009570,186160,ncortes3@schools.nyc.gov,http://schools.nyc.gov/schoolportals/23/k155,3,7,3,23K155,40.677415,-73.908734,16,37,369,3042263,3015520043,Ocean Hill                                                                 
K156,DOE,K,P.S. 156 Waverly,,718-498-2811,104 Sutter Ave,11212,1,36,1006944,181831,23k156@schools.nyc.gov,http://156k.org,2,3,3,23K156,40.665965,-73.918107,16,41,900,3081276,3035350016,Brownsville                                                                
K157,DOE,K,P.S. 157 Benjamin Franklin,,718-622-9285,850 Kent Ave,11205,1,36,995355,192637,ps157@outlook.com,http://schools.nyc.gov/schoolportals/14/k157,3,3,3,14K157,40.695417,-73.959571,3,33,1237,3054671,3018970013,Bedford                                                                    
K158,DOE,K,P.S. 158 Warwick,,718-277-6116,400 Ashford St,11207,1,72,1016131,184337,awilson3@schools.nyc.gov,http://schools.nyc.gov/schoolportals/19/k158,3,3,3,19K158,40.672579,-73.884803,5,37,1150,3089176,3040150001,East New York                                                              
K161,DOE,K,P.S. 161 The Crown,,718-756-3100,330 Crown St,11225,1,36,998338,181915,mjohnso10@schools.nyc.gov,http://schools.nyc.gov/schoolportals/17/k161,2,3,3,17K161,40.666181,-73.949013,9,35,319,3034181,3012970026,Crown Heights South                                                        
K164,DOE,K,P.S. 164 Caesar Rodney,,718-854-4100,4211 14 Ave,11219,1,46,988177,171416,esteinberg@schools.nyc.gov,http://schools.nyc.gov/schoolportals/20/k164,3,7,3,20K164,40.637486,-73.985955,12,44,232,3135976,3056000001,Borough Park                                                               
K165,DOE,K,P.S. 165 Ida Posner,,718-495-7759,76 Lott Ave,11212,1,36,1008949,178732,fellers@schools.nyc.gov,http://schools.nyc.gov/schoolportals/23/k165,2,3,3,23K165,40.65744,-73.911053,16,42,896,3082726,3036220023,Brownsville                                                                
K172,DOE,K,P.S. 172 Beacon School Of Excellence,,718-965-4200,825 4 Ave,11232,1,36,984158,178921,jspatol@schools.nyc.gov,http://schools.nyc.gov/schoolportals/15/k172,2,3,3,15K172,40.657914,-74.000652,7,38,101,3009847,3006690001,Sunset Park West                                                           
K177,DOE,K,P.S. 177 The Marlboro,,718-375-9506,346 Ave P,11204,1,36,991336,160937,scaleca@schools.nyc.gov,http://schools.nyc.gov/schoolportals/21/k177,2,3,3,21K177,40.608604,-73.974847,11,44,424,3175834,3066310001,Bensonhurst East                                                           
K178,DOE,K,P.S. 178 St. Clair Mckelway,,718-495-7768,2163 Dean St,11233,1,36,1007728,185292,jhenry1@schools.nyc.gov,http://schools.nyc.gov/schoolportals/23/k178,3,3,3,23K178,40.675024,-73.915778,16,41,303,3038718,3014400056,Ocean Hill                                                                 
K179,DOE,K,P.S. 179 Kensington,,718-438-4010,202 Ave C,11218,1,80,990551,172548,bamato@schools.nyc.gov,http://ps179kensington.com,5,9,3,20K179,40.640463,-73.977642,12,39,488,3126001,3053710001,Kensington-Ocean Parkway                                                   
K180,DOE,K,The Seeall Academy,,718-851-8070,5601 16 Ave,11204,1,38,987136,167594,20k180@schools.nyc.gov,http://seeallacademy.com,2,3,3,20K180,40.627029,-73.989672,12,44,470,3130809,3054920001,Borough Park                                                               
K181,DOE,K,P.S. 181 Brooklyn,,718-462-5298,1023 New York Ave,11203,1,28,999237,175436,kgrady@schools.nyc.gov,http://schools.nyc.gov/schoolportals/17/k181,3,3,3,17K181,40.648215,-73.946374,17,45,856,3327776,3049040010,East Flatbush-Farragut                                                     
K182,CHARTER,K,Success Academy Charter School - Williamsburg Pre - Kindergarten,,718-704-1419,183 South 3rd St,11211,1,18,995368,198597,SAWB.MainOffice@saschools.org,http://successacademies.org/schools/williamsburg/,5,9,3,14K182,40.711704,-73.960275,1,34,523,3063128,3024190001,North Side-South Side                                                      
K184,DOE,K,P.S. 184 Newport,,718-495-7775,273 Newport St,11212,1,72,1010622,179822,llinder@schools.nyc.gov,http://schools.nyc.gov/schoolportals/23/k184,2,3,3,23K184,40.659966,-73.904901,16,42,918,3082391,3036060001,Brownsville                                                                
K186,DOE,K,P.S. 186 Dr. Irving A Gladstone,,718-236-7071,7601 19 Ave,11214,1,18,985747,161927,bcadotte@schools.nyc.gov,http://ps186.com,5,9,3,20K186,40.611483,-73.994677,11,47,274,3160923,3062390001,Bensonhurst West                                                           
